Stars,Review Text,Review Date,Review Helpful,Random,Sentiment Lael,Sentiment Score
1.0 out of 5 stars,"Update - no it lasted about 15 minutes..... buying a Blitzu which is 10  and has lasted years.After using it, I rate it 1 Star because it will not last a long ride.  I am only riding one hour per day currently and it lasts 2.5 rides......when I start long rides again, it will not last the ride.I really like the fact you dont need screw drivers and spacers like most lights.  Since it attaches with a rubber strap it forms to any shape.  It is also bright and it took one spill and still works.  I have other more high priced lights and these seem to work as well.  I cannot attest to battery life yet.","Reviewed in the United States on December 24, 2020",No Data,1,POSITIVE,0.9867506623268127
5.0 out of 5 stars,"I am amazed with this light set. The headlight is ridiculously bright. I usually keep it down on the dimmer setting to save battery and for being seen and not to blind oncoming traffic, but if you need extra light to see further and ride faster it's got it. ​I actually use it as a flashlight more than I do for riding. Just pop it off the mount and use it for whatever. I live by the water and it's even bright enough to use as a spotlight for boating. In the pic, that tree in the center is 60 feet away and you can see how bright it is in pitch dark with no other lights nearby.The mounting system is super easy and functional and you can put them almost anywhere you want on the bike. The taillight can be mounted in 90 degree increments in any direction so you can mount it on a vertical or horizontal bar. I've had them in the rain and there is no problem with water resistance. The charge ports have rubber seals that you close when not charging. The batteries last longer than I've tested. I charge them after a few rides so I actually don't know how much longer they last. More than enough for my needs.I will be buying more. I would like it better with just hi-lo-off or separate on-off and mode switches so you don't have to click through the four modes to turn off. No need for the flashing modes. That would make it more convenient for flashlight use as well. Great job, Ascher.","Reviewed in the United States on December 4, 2021",No Data,1,POSITIVE,0.9916189908981323
5.0 out of 5 stars,"I just now attached these to my recumbent trike.  The elastic band on the headlight stretches enough to go around the pedal assembly.  I have a basket on the back so the tail light attaches to a length of pvc pipe.  The same size elastic band works here, too.  The lights are easy to turn on and off, much easier than my last pair.  Also much easier to remove for battery recharging.  So far, so good.","Reviewed in the United States on August 9, 2019",2 people found this helpful,1,POSITIVE,0.9929028153419495
5.0 out of 5 stars,Bought this one for my wife and another brand for myself. I first went out with mine and thought it was pretty cool. When I got home my wife was ready to go for a ride. when I saw her Ascher I was like embarrassed that I went out on the rode with the other brand. The front is super Bright put others to shame. The rear light is ok but no where near as impressive as the front,"Reviewed in the United States on May 22, 2020",One person found this helpful,1,POSITIVE,0.9862123727798462
5.0 out of 5 stars,"I keep them on the bike and if needed easy to take them off.They seem to work fine, I've used them in the rain, snow, sleet. The usb charging port covers close properly.As for the rubber straps that hold them to the seat post/ handlebars are fine. Not sure how long they'll last as I did spray some deet bug spray on and the rubber was slightly eaten by the bug spray.I looked but can't seem to find any replacement straps. Perhaps they exist. However I wouldn't hold my breathe.Might be cheaper to buy another set when these wear out.","Reviewed in the United States on October 31, 2021",No Data,1,POSITIVE,0.9914071559906006
5.0 out of 5 stars,"I use this for commuting in a major city. It is bright enough for me to be seen by other bikers, but not blinding for other bikers. It gives a enough light to see where you are going in dimly lit areas. I normally use it for a few days in a row without charging it, and I have never run out of battery, so I am not sure what the total battery life is like, but it is at least an hour and a half.I have bought this twice, the first one had the handlebar clamp for the front light break in a crash, but the light itself still worked.","Reviewed in the United States on December 15, 2020",No Data,1,POSITIVE,0.9870042204856873
5.0 out of 5 stars,"This light is amazing. No one could ever say that couldn’t see you at night, or during the day for that matter. The bright setting has cars flashing their brights at me. So there is a dimmer setting too. I use the bright setting as I can see as far as I can ahead of me. I ride to work most days. Early morning I need the lights and work late sometimes too. I ride past an area where several deer pop out of no where and run across the road. I use the double flash setting to hopefully keep them from popping out. So far it’s worked. Best light I have ever purchased. Easy to put on and take off and does not bounce, period. I take it off when I leave the bike outside. It’s too valuable to me to let someone walk away with.","Reviewed in the United States on September 12, 2021",No Data,1,POSITIVE,0.9929577112197876
5.0 out of 5 stars,I find  I have to charge this every 48 hours. I only  have it on for 20 minutes  twice a day  while I commute  back and forth to work. The rubber  cover on the USB port is a great addition but it is subject to a soft touch and will still break off. The 4 settingsand brightness  of the light  is spectacular.  I loved the light  so much on the first one  that I ordered a secondary set as my first ones got stolen right off the bike.  They are easy to put on and off the bike.,"Reviewed in the United States on April 17, 2020",One person found this helpful,1,POSITIVE,0.9873807430267334
5.0 out of 5 stars,"The lights work fantastic. I've used them a few times riding at night now and I recommend them.They're bright and fairly rugged. The only problem is if you set them to the dim setting, the strobe drives me nuts.They have bright, dim, and a few different strobe patterns for both the flashlight  and the taillight. If you're into that sort of thing.After about a half hour of riding on the bright setting, the aluminum enclosure of the headlight isn't warm to the touch, which is kind of surprising.","Reviewed in the United States on October 25, 2019",No Data,1,POSITIVE,0.990898847579956
1.0 out of 5 stars,New update Aug 22 2020:Giving this a one star now due to the insane price gouging. I bought this maybe 8 or 9 months ago for $12. Now it's at $20. Wanted to buy another two sets but not anymore!!Original post:This light has really good brightness and is easy to recharge. I dont know yet how long the batteries will last. I would have given this five star if the mount was not a flimsy rubber band and actually had a screw on mount. This is super easy for someone to take off the bike. I suggest if you're going to lock your bike somewhere you take these off and bring with you. The rubber band seems like it won't last beyond a few years.,"Reviewed in the United States on January 12, 2020",One person found this helpful,1,POSITIVE,0.9844916462898254
5.0 out of 5 stars,"Easy to install and very bright.  Mounting was easy, although I had to work around a storage bag under my seat for the back light.  Battery life seems to be good.  Only recharged the headlight once and have yet to recharge the tail light after multiple uses.  Good value for the cost.","Reviewed in the United States on April 14, 2020",No Data,1,POSITIVE,0.9878724813461304
5.0 out of 5 stars,"Bought this for my daughter in college. Wonderful product. VERY easy product to install, charge, etc. Easy to take on and off to keep with her to avoid theft.","Reviewed in the United States on August 25, 2019",No Data,1,POSITIVE,0.9925918579101562
5.0 out of 5 stars,BrightRechargeableHolds long charge,"Reviewed in the United States on August 7, 2020",No Data,1,POSITIVE,0.9892033934593201
4.0 out of 5 stars,Other high quality set got stolen off my bike so I bought this kit. Both lights are bright as hell but feel like they arent good quality. The strap on the headlamp is very bad and tends to shift around on my bike. If you just want bright lights then go ahead! rear light is good too.,"Reviewed in the United States on January 13, 2020",No Data,1,POSITIVE,0.9850994944572449
5.0 out of 5 stars,Strong light and sturdy materials,"Reviewed in the United States on March 12, 2020",No Data,1,POSITIVE,0.9884809255599976
5.0 out of 5 stars,"great value, works extremely well","Reviewed in the United States on August 18, 2021",No Data,1,POSITIVE,0.9935510158538818
5.0 out of 5 stars,"rechargeable, good price, shipped in one day, nice light both front and back.","Reviewed in the United States on May 17, 2021",No Data,1,POSITIVE,0.9916069507598877
5.0 out of 5 stars,"Both the Headlight and Taillight have rechargeable battery through a Micro-USB port.  And both have 4 modes - 2 constant on and 2 blinking.  The blinking modes, for me, provide the most visibility.","Reviewed in the United States on March 19, 2020",No Data,1,POSITIVE,0.9874540567398071
5.0 out of 5 stars,"Great bicycle Light, great lighting, looks good.","Reviewed in the United States on April 30, 2021",No Data,1,POSITIVE,0.9907674193382263
1.0 out of 5 stars,Not bright to ride with at all,"Reviewed in the United States on May 26, 2021",No Data,1,POSITIVE,0.9915404915809631
4.0 out of 5 stars,"Overall, this is an amazing bike light. I would've rated 5 stars, however, the silicone strap of my white light tore. I don't remember how it exactly tore apart, but it was from a blunder on the road. Everything else works fine. I was wondering if I can just receive a new strap for the white light?","Reviewed in the United States on March 8, 2021",No Data,1,POSITIVE,0.9925698637962341
5.0 out of 5 stars,I was surprised at how bright both the taillight and the headlight are. Great value and quality for the price.,"Reviewed in the United States on January 22, 2021",No Data,1,POSITIVE,0.9885609745979309
1.0 out of 5 stars,Bought last December.  Stopped working a month ago in September.  Only used a few times.  Will not charge any more.Light mounted easily.  Light was bright.  Electronics bit the dust early.,"Reviewed in the United States on October 23, 2019",One person found this helpful,1,POSITIVE,0.9910234212875366
5.0 out of 5 stars,"Connects to bike easily and easy to remove.  Headlight is much brighter than expected for a compact unit, lights up the path in total darkness and can be used as a flashlight.  I highly recommend this product.","Reviewed in the United States on January 13, 2021",No Data,1,POSITIVE,0.9902445077896118
3.0 out of 5 stars,The lights (front & back) were fine. I just could not use therm on our bikes. The design of our bikes has the front light pointing up and not down at the road or off the the side at a 45 degree angle. Aa way of adjusting the angle would be great.,"Reviewed in the United States on October 13, 2019",No Data,1,POSITIVE,0.9911336302757263
4.0 out of 5 stars,"Bought this for my ex. Somebody stole his other lights off his bike. The only whining I hear now is when he forgets to charge it. Must be easy to install, even he can do it.","Reviewed in the United States on February 16, 2020",No Data,1,POSITIVE,0.9870123267173767
5.0 out of 5 stars,Perfect for bike and love the 3 different types of lighting.,"Reviewed in the United States on June 29, 2019",No Data,1,POSITIVE,0.992482602596283
3.0 out of 5 stars,"Las luces son buenas, excelente brillo y duración de batería, pero el sistema de sujeción de la delantera (blanca) es ordinario... Se suelta fácilmente en bajadas empedradas o con saltos... Ya no me funciona, a veces logro que ajuste usándolo al contrario, pero se sigue cayendo, lo que es riesgoso e inconveniente","Reviewed in the United States on November 22, 2020",No Data,1,POSITIVE,0.9868017435073853
1.0 out of 5 stars,Easey to use easy to install,"Reviewed in the United States on March 12, 2021",No Data,1,POSITIVE,0.9924200177192688
5.0 out of 5 stars,It's easy to install and very bright! Maybe too bright!,"Reviewed in the United States on May 20, 2020",No Data,1,POSITIVE,0.9872921705245972
5.0 out of 5 stars,So far it’s great. Not sure about battery life. Brighter than my $50 one,"Reviewed in the United States on June 14, 2020",No Data,1,POSITIVE,0.9894114136695862
2.0 out of 5 stars,Lights are decent and bright but after only a few rides the rubber strap has already ripped. I didn’t expect them to last forever but it’s a disappointment that they rip already.,"Reviewed in the United States on July 19, 2019",No Data,1,POSITIVE,0.9913873076438904
5.0 out of 5 stars,"Amazing battery life, excellent brightness","Reviewed in the United States on January 2, 2020",No Data,1,POSITIVE,0.9828512668609619
5.0 out of 5 stars,These lamps are really nice,"Reviewed in the United States on January 6, 2020",No Data,1,POSITIVE,0.9835919141769409
5.0 out of 5 stars,"Very to install, very bright and last long time on one charge.","Reviewed in the United States on February 16, 2021",No Data,1,POSITIVE,0.9915472865104675
5.0 out of 5 stars,"Great product, I have bought 2 of these and I will buy them again. The battery lasts forever. This is a great value.","Reviewed in the United States on May 22, 2020",No Data,1,POSITIVE,0.9862123727798462
5.0 out of 5 stars,I bought this for my husband's bike and he loves it.  He toook it for a ride last night and said that he liked the light settings.,"Reviewed in the United States on July 1, 2021",No Data,1,POSITIVE,0.993212103843689
5.0 out of 5 stars,Solid product for a good price,"Reviewed in the United States on December 28, 2020",No Data,1,POSITIVE,0.9862486720085144
4.0 out of 5 stars,"Everything works as described including the battery life. Giving it a 4 because the rubber ring on the main headlight kept coming off. Not sure if this rubber piece is only for cosmetic or help protect the product against rain, but it should have been better fitting.","Reviewed in the United States on June 13, 2020",No Data,1,POSITIVE,0.9898723363876343
5.0 out of 5 stars,Great quality; as expected,"Reviewed in the United States on November 16, 2019",No Data,1,POSITIVE,0.9907366633415222
4.0 out of 5 stars,"Light is very bright and wide.  Siren is insanely loud and annoying.  Kids cant stop pushing siren buttons, so I opened  it up and cut the wires to the speaker.  So much better now.","Reviewed in the United States on August 11, 2020",No Data,1,POSITIVE,0.9901808500289917
5.0 out of 5 stars,Great bike light with multiple brightness settings as well as a flashing setting.,"Reviewed in the United States on November 1, 2020",No Data,1,POSITIVE,0.9877326488494873
5.0 out of 5 stars,Nice and bright! Charge lasts pretty long too,"Reviewed in the United States on February 17, 2021",No Data,1,POSITIVE,0.9914450645446777
5.0 out of 5 stars,Easy to use. Great bright light for both front and back. Quick charging.,"Reviewed in the United States on January 29, 2020",No Data,1,POSITIVE,0.9826242327690125
4.0 out of 5 stars,"Very nice product, but arrived damaged. Obviously a return and rebox  without inspection.Won’t return as it works fine, just disappointing.","Reviewed in the United States on February 25, 2020",No Data,1,POSITIVE,0.9878550171852112
4.0 out of 5 stars,Good product for the price. Easy to install. Tail light battery lasts forever. The light does tend to move a bit when I go over jumps or bumps but it's an easy fix.,"Reviewed in the United States on December 14, 2019",One person found this helpful,1,POSITIVE,0.9915033578872681
3.0 out of 5 stars,Barely had them on my bike for 2 weeks & the rear light dies to quick & doesn’t want to charge anymore & the front light mount broke off by itself,"Reviewed in the United States on October 7, 2020",No Data,1,POSITIVE,0.9872244596481323
5.0 out of 5 stars,What i been looking for bright and back light is as well will be getting more kids need this as well,"Reviewed in the United States on May 6, 2019",No Data,1,POSITIVE,0.991006076335907
4.0 out of 5 stars,VERY DURABLE AND BRIGHT,"Reviewed in the United States on May 6, 2021",No Data,1,POSITIVE,0.9926679730415344
5.0 out of 5 stars,The mounting system is perfect for our family. We can put it on different bikes as needed.,"Reviewed in the United States on September 27, 2021",No Data,1,POSITIVE,0.9911088943481445
5.0 out of 5 stars,very happy with this purchase,"Reviewed in the United States on April 22, 2021",No Data,1,POSITIVE,0.991442859172821
5.0 out of 5 stars,Perfect for riding the bike in the starkness,"Reviewed in the United States on March 26, 2021",No Data,1,POSITIVE,0.991117000579834
5.0 out of 5 stars,"great buy, very bright","Reviewed in the United States on July 27, 2021",No Data,1,POSITIVE,0.990867018699646
4.0 out of 5 stars,Esta bien para ruta diaria,"Reviewed in the United States on December 8, 2020",No Data,1,POSITIVE,0.9879708886146545
5.0 out of 5 stars,"Easy to install, super bright too new to evaluate battery life.  Great so far!","Reviewed in the United States on October 29, 2019",No Data,1,POSITIVE,0.9908180236816406
5.0 out of 5 stars,Easy to put on. Has enough brightness. So far good.,"Reviewed in the United States on July 29, 2021",No Data,1,POSITIVE,0.9918721318244934
5.0 out of 5 stars,I was really excited about this product when I first started to use it. It was easy to put onto my bike and I liked the fact that it was led rechargable.... But... Using it for my 10 minute ride home only lasts 4 rides then it needs to be charged. It's really disappointing,"Reviewed in the United States on January 28, 2020",No Data,1,POSITIVE,0.981321394443512
5.0 out of 5 stars,The light is pretty bright and I also like the fact that the front light can detach to be used as a flashlight. All in all a good buy.,"Reviewed in the United States on November 6, 2021",No Data,1,POSITIVE,0.9919793605804443
1.0 out of 5 stars,Both the tail light and headlight were initially great except the first tail light  I bought stopped working after a couple of months and on the second set headlight wouldn’t ever charge.  I won’t be buying this again.  Two out of two lemons.,"Reviewed in the United States on March 10, 2021",No Data,1,POSITIVE,0.9923606514930725
2.0 out of 5 stars,It was working fine then the other day it just turned off while using it. Got it back to full charge and nothing. The little bulb is burnt out.,"Reviewed in the United States on September 30, 2021",No Data,1,POSITIVE,0.9912828207015991
4.0 out of 5 stars,The brightness is wide and illuminates quite a distance that traffic signs are visible at least a block away. I also like the idea of having two charging cables and packaging is gift friendly. The headlight is a little unstable when riding over bumps and needs to be readjusting at times.,"Reviewed in the United States on May 23, 2019",No Data,1,POSITIVE,0.9909075498580933
5.0 out of 5 stars,Easy to install as advertised.  Haven’t tested battery life,"Reviewed in the United States on October 23, 2019",No Data,1,POSITIVE,0.9910234212875366
1.0 out of 5 stars,I do light riding on a hybrid bike. After 2-3 rides the front light was no longer there. Must have fell off during the ride. Strap remained in place but the light slid off.Back light seems to be working well.,"Reviewed in the United States on February 25, 2020",One person found this helpful,1,POSITIVE,0.9878550171852112
5.0 out of 5 stars,"Perfect light for your bike! Light is very bright and illuminated very well in the dark. Back light is also very visible.Installation is a piece of cake, you just strap in on your bike and click it in place!","Reviewed in the United States on October 11, 2020",No Data,1,POSITIVE,0.987683117389679
3.0 out of 5 stars,Disappointed the front light doesn't last very long in flashing mode; this despite the light's rather large size. Needs recharging frequently. Contrarily the back light last hours longer.,"Reviewed in the United States on May 30, 2021",No Data,1,POSITIVE,0.9911477565765381
5.0 out of 5 stars,Best bike likes with accessories I've bought.,"Reviewed in the United States on December 22, 2019",No Data,1,POSITIVE,0.9909831285476685
5.0 out of 5 stars,Cool light.  Haven't really used it I a bike yet but took it with me to caves and works great.,"Reviewed in the United States on November 19, 2019",No Data,1,POSITIVE,0.9914771914482117
5.0 out of 5 stars,"Easy to charge, fits universally, and my son loves! He is 7 and easily can charge them up, and put them on his bike! They are super cool, but also safe!","Reviewed in the United States on October 15, 2020",No Data,1,POSITIVE,0.9865162372589111
5.0 out of 5 stars,Easy to install  Bright enough,"Reviewed in the United States on April 5, 2021",No Data,1,POSITIVE,0.9926984906196594
5.0 out of 5 stars,great product - great value,"Reviewed in the United States on March 5, 2020",No Data,1,POSITIVE,0.9887775778770447
5.0 out of 5 stars,"Super easy to install, & it's very bright. Not one complaint(:","Reviewed in the United States on August 3, 2019",No Data,1,POSITIVE,0.9922909140586853
5.0 out of 5 stars,So far so good. Bright,"Reviewed in the United States on July 21, 2021",No Data,1,POSITIVE,0.9915339350700378
2.0 out of 5 stars,Good strong quality,"Reviewed in the United States on August 24, 2021",No Data,1,POSITIVE,0.99293452501297
5.0 out of 5 stars,We placed the lights on our Pride Go-Go scooter  so we could walk the dog during the evening hours.  Gives us light and protection.,"Reviewed in the United States on October 19, 2021",No Data,1,POSITIVE,0.9914331436157227
5.0 out of 5 stars,"Amo este producto, es de muy buena calidad. Es mi segunda compra.","Reviewed in the United States on November 7, 2019",No Data,1,POSITIVE,0.9910594820976257
1.0 out of 5 stars,Poor quality. Charging port was lose/broken from day one. It is more expensive for me to return/ship it than what I will get for refund. Threw it in the garbage.,"Reviewed in the United States on November 12, 2020",One person found this helpful,1,POSITIVE,0.9879563450813293
5.0 out of 5 stars,These lights are very bright and put them on my granddaughters bike we can't wait to go bike riding they loved the light effects on their bikes! I will recommend these lights to anyone,"Reviewed in the United States on November 3, 2020",No Data,1,POSITIVE,0.9865726232528687
5.0 out of 5 stars,Excelente producto,"Reviewed in the United States on January 20, 2020",No Data,1,POSITIVE,0.9835249185562134
4.0 out of 5 stars,Light reach is ok.,"Reviewed in the United States on October 16, 2021",No Data,1,POSITIVE,0.9903967380523682
5.0 out of 5 stars,I would purchase this light with confidence in knowing that the seller stands behind this product.,"Reviewed in the United States on June 25, 2021",No Data,1,POSITIVE,0.9932438731193542
5.0 out of 5 stars,Great lights and work well.,"Reviewed in the United States on May 8, 2021",No Data,1,POSITIVE,0.9929332733154297
5.0 out of 5 stars,Great for night rides bright great battery life,"Reviewed in the United States on December 22, 2020",No Data,1,POSITIVE,0.9868029952049255
5.0 out of 5 stars,"I've been using the product for more than a week now. So far, so good. When fully charged, both lights performed well. Depending on the modes being used, the number of hours stated in the brochure is accurate.","Reviewed in the United States on March 22, 2020",No Data,1,POSITIVE,0.9869556427001953
5.0 out of 5 stars,I love these lights. They are the best and very simple to use and charge. I have had lights in the past that were more expensive and are not as good.,"Reviewed in the United States on December 29, 2020",No Data,1,POSITIVE,0.9870166182518005
5.0 out of 5 stars,Excellent for the price.  Brighter than I expected and it holds its charge well.  I get lots of compliments on the twilight which easily attaches to the back of my helmet.,"Reviewed in the United States on October 15, 2020",No Data,1,POSITIVE,0.9865162372589111
1.0 out of 5 stars,"Your browser does not support HTML5 video.
        


   Just got this last week. I charged the headlight and taillight to a full charge. The taillight works fine but the headlight does not work at all. I tried charging it again just to be sure. Still does not work. (See video)","Reviewed in the United States on September 10, 2020",One person found this helpful,1,POSITIVE,0.9897985458374023
5.0 out of 5 stars,Very bright light,"Reviewed in the United States on April 1, 2021",No Data,1,POSITIVE,0.9930372834205627
5.0 out of 5 stars,Super easy install without the need to remove the clip to charge. Lights are super bright to be able to see and be seen.,"Reviewed in the United States on September 14, 2019",No Data,1,POSITIVE,0.9919113516807556
5.0 out of 5 stars,SO bright! Very easy to put on and take off and the brightness is so nice so I don’t have to wear a headlamp on our dark trails at night. Love that they’re rechargeable too so I don’t always have to be replacing batteries.,"Reviewed in the United States on December 30, 2019",No Data,1,POSITIVE,0.9909635782241821
5.0 out of 5 stars,Incredible light and long lasting battery! It was great until someone stole my bike though.,"Reviewed in the United States on February 19, 2021",No Data,1,POSITIVE,0.9917690753936768
1.0 out of 5 stars,Bought for kids and they never hardly used them. Installed them in spring and the tail lights both are not working. Headlights still work.,"Reviewed in the United States on September 9, 2021",No Data,1,POSITIVE,0.9928237199783325
